Dataset Name,Text File 1,Dataset Name 2,Text File 2,Similarity Score
batch2,6-1-7a_line_9874_0,batch2,6-1-7a_line_9874_4,0.31645569620253167
batch2,6-1-7a_line_9874_0,batch2,6-1-6b_line_9874_6,0.25806451612903225
batch2,6-1-7a_line_9874_0,batch2,6-1-7a_line_9874_3,0.23225806451612904
batch2,6-1-7a_line_9874_0,batch3,11-1-164b_line_9874_1,0.29605263157894735
batch2,6-1-7a_line_9874_0,batch3,11-1-164b_line_9874_4,0.2361111111111111
batch2,6-1-7a_line_9874_0,batch3,11-1-164a_line_9874_5,0.23684210526315788
batch2,6-1-7a_line_9874_0,batch3,11-1-164b_line_9874_2,0.22916666666666666
batch2,6-1-7a_line_9874_0,batch3,11-1-164b_line_9874_5,0.26666666666666666
batch2,6-1-7a_line_9874_0,batch3,11-1-164a_line_9874_6,0.24305555555555555
batch2,6-1-7a_line_9874_0,batch3,11-1-164b_line_9874_6,0.27631578947368424
batch2,6-1-7a_line_9874_0,batch3,11-1-165a_line_9874_0,0.20833333333333334
batch2,6-1-7a_line_9874_0,batch3,11-1-164b_line_9874_0,0.2550335570469799
batch2,6-1-7a_line_9874_0,batch3,11-1-164b_line_9874_3,0.25
batch2,6-1-7a_line_9874_0,batch1,1-1-4a_line_9874_6,0.24528301886792453
batch2,6-1-7a_line_9874_0,batch1,1-1-4a_line_9874_2,0.27071823204419887
batch2,6-1-7a_line_9874_0,batch1,1-1-4a_line_9874_4,0.2727272727272727
batch2,6-1-7a_line_9874_0,batch1,1-1-4b_line_9874_3,0.28994082840236685
batch2,6-1-7a_line_9874_0,batch1,1-1-4b_line_9874_1,0.29239766081871343
batch2,6-1-7a_line_9874_0,batch1,1-1-4a_line_9874_3,0.2662337662337662
batch2,6-1-7a_line_9874_0,batch1,1-1-4a_line_9874_1,0.2647058823529412
batch2,6-1-7a_line_9874_0,batch1,1-1-4a_line_9874_5,0.2692307692307692
batch2,6-1-7a_line_9874_0,batch1,1-1-4b_line_9874_0,0.26380368098159507
batch2,6-1-7a_line_9874_0,batch1,1-1-4b_line_9874_2,0.31693989071038253
batch2,6-1-7a_line_9874_1,batch2,6-1-6b_line_9874_5,0.23125
batch2,6-1-7a_line_9874_1,batch2,6-1-7a_line_9874_0,0.3096774193548387
batch2,6-1-7a_line_9874_1,batch2,6-1-7a_line_9874_5,0.18867924528301888
batch2,6-1-7a_line_9874_1,batch2,6-1-7a_line_9874_2,0.3950617283950617
batch2,6-1-7a_line_9874_1,batch2,6-1-6b_line_9874_4,0.2893081761006289
batch2,6-1-7a_line_9874_1,batch2,6-1-6b_line_9874_3,0.25806451612903225
batch2,6-1-7a_line_9874_1,batch2,6-1-7a_line_9874_4,0.23417721518987342
batch2,6-1-7a_line_9874_1,batch2,6-1-6b_line_9874_6,0.16774193548387098
batch2,6-1-7a_line_9874_1,batch2,6-1-7a_line_9874_3,0.1935483870967742
batch2,6-1-7a_line_9874_1,batch3,11-1-164b_line_9874_1,0.2967741935483871
batch2,6-1-7a_line_9874_1,batch3,11-1-164b_line_9874_4,0.23870967741935484
batch2,6-1-7a_line_9874_1,batch3,11-1-164a_line_9874_5,0.25161290322580643
batch2,6-1-7a_line_9874_1,batch3,11-1-164b_line_9874_2,0.27741935483870966
batch2,6-1-7a_line_9874_1,batch3,11-1-164b_line_9874_5,0.21935483870967742
batch2,6-1-7a_line_9874_1,batch3,11-1-164a_line_9874_6,0.3032258064516129
batch2,6-1-7a_line_9874_1,batch3,11-1-164b_line_9874_6,0.2064516129032258
batch2,6-1-7a_line_9874_1,batch3,11-1-165a_line_9874_0,0.24516129032258063
batch2,6-1-7a_line_9874_1,batch3,11-1-164b_line_9874_0,0.2709677419354839
batch2,6-1-7a_line_9874_1,batch3,11-1-164b_line_9874_3,0.25161290322580643
batch2,6-1-7a_line_9874_1,batch1,1-1-4a_line_9874_6,0.2389937106918239
batch2,6-1-7a_line_9874_1,batch1,1-1-4a_line_9874_2,0.26519337016574585
batch2,6-1-7a_line_9874_1,batch1,1-1-4a_line_9874_4,0.20606060606060606
